qid,question,answer
medquestions-500-0228,Do you have information about Hormones,"Summary : Hormones are your body's chemical messengers. They travel in your bloodstream to tissues or organs. They work slowly, over time, and affect many different processes, including       - Growth and development    - Metabolism - how your body gets energy from the foods you eat    -  Sexual function    -  Reproduction    -  Mood       Endocrine glands, which are special groups of cells, make hormones. The major endocrine glands are the pituitary, pineal, thymus, thyroid, adrenal glands, and pancreas. In addition, men produce hormones in their testes and women produce them in their ovaries.     Hormones are powerful. It takes only a tiny amount to cause big changes in cells or even your whole body. That is why too much or too little of a certain hormone can be serious. Laboratory tests can measure the hormone levels in your blood, urine, or saliva. Your health care provider may perform these tests if you have symptoms of a hormone disorder. Home pregnancy tests are similar - they test for pregnancy hormones in your urine."
medquestions-500-0229,What is (are) Striatonigral Degeneration ?,"Striatonigral degeneration is a neurological disorder caused by a disruption in the connection between two areas of the brain-the striatum and the substantia nigra. These two areas work together to enable balance and movement. Striatonigral degeneration is a type of multiple system atrophy (MSA). Symptoms of the disorder resemble some of those seen in Parkinson's disease, including rigidity, instability, impaired speech, and slow movements."
medquestions-500-0230,Is Alport syndrome inherited ?,"Alport syndrome can have different inheritance patterns. About 80 percent of cases are caused by mutations in the COL4A5 gene and are inherited in an X-linked pattern. This gene is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the COL4A5 gene in each cell is sufficient to cause kidney failure and other severe symptoms of the disorder. In females (who have two X chromosomes), a mutation in one copy of the COL4A5 gene usually only results in hematuria, but some women experience more severe symptoms. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.  In approximately 15 percent of cases, Alport syndrome results from mutations in both copies of the COL4A3 or COL4A4 gene and is inherited in an autosomal recessive pattern. The parents of an individual with the autosomal recessive form of this condition each have one copy of the mutated gene and are called carriers. Some carriers are unaffected and others develop a less severe condition called thin basement membrane nephropathy, which is characterized by hematuria.  Alport syndrome has autosomal dominant inheritance in about 5 percent of cases. People with this form of Alport syndrome have one mutation in either the COL4A3 or COL4A4 gene in each cell. It remains unclear why some individuals with one mutation in the COL4A3 or COL4A4 gene have autosomal dominant Alport syndrome and others have thin basement membrane nephropathy."
medquestions-500-0231,What is (are) Familial avascular necrosis of the femoral head ?,"Avascular necrosis of the femoral head (ANFH) is a degenerative condition which causes the upper ends of the thigh bones (femurs) to break down due to an inadequate blood supply and deficient bone repair. It can lead to pain and limping and cause the legs to be of unequal length. The prevalence of ANFH is unknown but around 15,000 cases are reported each year in the United States, with most cases being associated with mechanical disruption (hip trauma or surgery), hypofibrinolysis (a reduced ability to dissolve clots), steroid use, smoking, alcohol intake, hemoglobinopathies and hyperlipidemia (an increase in the amount of fat - such as cholesterol and triglycerides - in the blood). Familial forms of ANFH appear to be very rare, with only a few families reported in the medical literature. Age of onset in these familial cases ranges from 15-48 years (as opposed to between 3rd to 5th decade of life for other forms of ANFH). Transmission in familial cases is autosomal dominant and mutations in the type II collagen gene (COL2A1) have been detected in affected family members."
medquestions-500-0232,What is (are) Mobility Aids ?,"Mobility aids help you walk or move from place to place if you are disabled or have an injury. They include       - Crutches    - Canes    - Walkers    - Wheelchairs    - Motorized scooters       You may need a walker or cane if you are at risk of falling. If you need to keep your body weight off your foot, ankle or knee, you may need crutches. You may need a wheelchair or a scooter if an injury or disease has left you unable to walk.     Choosing these devices takes time and research. You should be fitted for crutches, canes and walkers. If they fit, these devices give you support, but if they don't fit, they can be uncomfortable and unsafe."
medquestions-500-0233,Is horizontal gaze palsy with progressive scoliosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
medquestions-500-0234,Is congenital insensitivity to pain with anhidrosis inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
medquestions-500-0235,What is (are) 3-methylglutaconyl-CoA hydratase deficiency ?,"3-methylglutaconyl-CoA hydratase deficiency is an inherited condition that causes neurological problems. Beginning in infancy to early childhood, children with this condition often have delayed development of mental and motor skills (psychomotor delay), speech delay, involuntary muscle cramping (dystonia), and spasms and weakness of the arms and legs (spastic quadriparesis). Affected individuals can also have optic atrophy, which is the degeneration (atrophy) of nerve cells that carry visual information from the eyes to the brain.  In some cases, signs and symptoms of 3-methylglutaconyl-CoA hydratase deficiency begin in adulthood, often in a person's twenties or thirties. These individuals have damage to a type of brain tissue called white matter (leukoencephalopathy), which likely contributes to progressive problems with speech (dysarthria), difficulty coordinating movements (ataxia), stiffness (spasticity), optic atrophy, and a decline in intellectual function (dementia).  Affected individuals who show symptoms of 3-methylglutaconyl-CoA hydratase deficiency in childhood often go on to develop leukoencephalopathy and other neurological problems in adulthood.  All people with 3-methylglutaconyl-CoA hydratase deficiency accumulate large amounts of a substance called 3-methylglutaconic acid in their body fluids. As a result, they have elevated levels of acid in their blood (metabolic acidosis) and excrete large amounts of acid in their urine (aciduria). 3-methylglutaconyl-CoA hydratase deficiency is one of a group of metabolic disorders that can be diagnosed by the presence of increased levels 3-methylglutaconic acid in urine (3-methylglutaconic aciduria). People with 3-methylglutaconyl-CoA hydratase deficiency also have high urine levels of another acid called 3-methylglutaric acid."
medquestions-500-0236,What is (are) supravalvular aortic stenosis ?,"Supravalvular aortic stenosis (SVAS) is a heart defect that develops before birth. This defect is a narrowing (stenosis) of the large blood vessel that carries blood from the heart to the rest of the body (the aorta). The condition is described as supravalvular because the section of the aorta that is narrowed is located just above the valve that connects the aorta with the heart (the aortic valve). Some people with SVAS also have defects in other blood vessels, most commonly stenosis of the artery from the heart to the lungs (the pulmonary artery). An abnormal heart sound during a heartbeat (heart murmur) can often be heard during a chest exam. If SVAS is not treated, the aortic narrowing can lead to shortness of breath, chest pain, and ultimately heart failure.  The severity of SVAS varies considerably, even among family members. Some affected individuals die in infancy, while others never experience symptoms of the disorder."
medquestions-500-0237,How to prevent Heart Disease in Women ?,"Taking action to control your risk factors can help prevent or delaycoronary heart disease(CHD). Your risk for CHD increases with the number of CHD risk factors you have.
                
One step you can take is to adopt a heart healthy lifestyle. A heart healthy lifestyle should be part of a lifelong approach to healthy living.
                
For example, if you smoke, try to quit. Smoking can raise your risk for CHD andheart attackand worsen other CHD risk factors. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke.
                
For more information about quitting smoking, go to the Health Topics Smoking and Your Heart article and the National Heart, Lung, and Blood Institute's (NHLBI's) ""Your Guide to a Healthy Heart.""
                
Following a healthy diet also is an important part of a healthy lifestyle. A healthy diet includes a variety of vegetables and fruits. It also includes whole grains, fat-free or low-fat dairy products, and protein foods, such as lean meats, poultry without skin, seafood, processed soy products, nuts, seeds, beans, and peas.
                
A healthy diet is low in sodium (salt), added sugars, solid fats, and refined grains. Solid fats are saturated fat and trans fatty acids. Refined grains come from processing whole grains, which results in a loss of nutrients (such as dietary fiber).
                
The NHLBI's Therapeutic Lifestyle Changes (TLC) and Dietary Approaches to Stop Hypertension (DASH) are two programs that promote healthy eating.
                
If you'reoverweight or obese, work with your doctor to create a reasonable weight-loss plan. Controlling your weight helps you control CHD risk factors.
                
Be as physically active as you can. Physical activity can improve your fitness level and your health. Talk with your doctor about what types of activity are safe for you.
                
For more information about physical activity, go to the Health Topics Physical Activity and Your Heart article and the NHLBI's ""Your Guide to Physical Activity and Your Heart.""
                
Know your family history of CHD. If you or someone in your family has CHD, be sure to tell your doctor.
                
If lifestyle changes aren't enough, you also may need medicines to control your CHD risk factors. Take all of your medicines as prescribed.
                
For more information about lifestyle changes and medicines, go to ""How Is Heart Disease Treated?"""
medquestions-500-0238,What is (are) Klatskin tumor ?,Klatskin tumors are tumors that affect the upper part of the bile duct where it divides to enter the right and left parts of the liver. One or both sides may be affected. Individuals with Klatskin tumors often present with jaundice and/or abnormal liver tests. Treatment may involve surgical removal of the tumor. Not all tumors can be removed. Prognosis for cases that cannot be removed (non-resectable tumors) is poor.
medquestions-500-0239,What are the treatments for Buschke-Ollendorff syndrome ?,These resources address the diagnosis or management of Buschke-Ollendorff syndrome:  - Genetic Testing Registry: Dermatofibrosis lenticularis disseminata   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
medquestions-500-0240,What causes Atrial Fibrillation ?,"Atrial fibrillation (AF) occurs if the heart's electrical signals don't travel through the heart in a normal way. Instead, they become very rapid and disorganized.
                
Damage to the heart's electrical system causes AF. The damage most often is the result of other conditions that affect the health of the heart, such as high blood pressure and coronary heart disease.
                
The risk of AF increases as you age. Inflammation also is thought to play a role in causing AF.
                
Sometimes, the cause of AF is unknown."
medquestions-500-0241,How to diagnose Childhood Rhabdomyosarcoma ?,"Diagnostic tests and a biopsy are used to detect (find) and diagnose childhood rhabdomyosarcoma. The diagnostic tests that are done depend in part on where the cancer forms. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.    -   X-ray : An x-ray of the organs and bones inside the body, such as the chest. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the abdomen, pelvis, or lymph nodes, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.    -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas of the body, such as the skull, brain, and lymph nodes. This procedure is also called nuclear magnetic resonance imaging (NMRI).    -   PET scan (positron emission tomography scan): A procedure to find malignant tumor cells in the body. A small amount of radioactive glucose (sugar) is injected into a vein. The PET scanner rotates around the body and makes a picture of where glucose is being used in the body. Malignant tumor cells show up brighter in the picture because they are more active and take up more glucose than normal cells do.    -   Bone scan : A procedure to check if there are rapidly dividing cells, such as cancer cells, in the bone. A very small amount of radioactive material is injected into a vein and travels through the bloodstream. The radioactive material collects in the bones with cancer and is detected by a scanner.    -   Bone marrow aspiration and biopsy : The removal of bone marrow, blood, and a small piece of bone by inserting a hollow needle into the hipbone. Samples are removed from both hipbones. A pathologist views the bone marrow, blood, and bone under a microscope to look for signs of cancer.    -   Lumbar puncture : A procedure used to collect cerebrospinal fluid (CSF) from the spinal column. This is done by placing a needle between two bones in the spine and into the CSF around the spinal cord and removing a sample of the fluid. The sample of CSF is checked under a microscope for signs of cancer cells. This procedure is also called an LP or spinal tap.        If these tests show there may be a rhabdomyosarcoma, a biopsy is done. A biopsy is the removal of cells or tissues so they can be viewed under a microscope by a pathologist to check for signs of cancer. Because treatment depends on the type of rhabdomyosarcoma, biopsy samples should be checked by a pathologist who has experience in diagnosing rhabdomyosarcoma.    One of the following types of biopsies may be used:         -   Fine-needle aspiration (FNA) biopsy : The removal of tissue or fluid using a thin needle.     -   Core needle biopsy : The removal of tissue using a wide needle. This procedure may be guided using ultrasound, CT scan, or MRI.    -   Open biopsy : The removal of tissue through an incision (cut) made in the skin.     -   Sentinel lymph node biopsy : The removal of the sentinel lymph node during surgery. The sentinel lymph node is the first lymph node to receive lymphatic drainage from a tumor. It is the first lymph node the cancer is likely to spread to from the tumor. A radioactive substance and/or blue dye is injected near the tumor. The substance or dye flows through the lymph ducts to the lymph nodes. The first lymph node to receive the substance or dye is removed. A pathologist views the tissue under a microscope to look for cancer cells. If cancer cells are not found, it may not be necessary to remove more lymph nodes.        The following tests may be done on the sample of tissue that is removed:         -   Light microscopy: A laboratory test in which cells in a sample of tissue are viewed under regular and high-powered microscopes to look for certain changes in the cells.    -   Immunohistochemistry : A test that uses antibodies to check for certain antigens in a sample of tissue. The antibody is usually linked to a radioactive substance or a dye that causes the tissue to light up under a microscope. This type of test may be used to tell the difference between different types of cancer.    -   FISH (fluorescence in situ hybridization): A laboratory test used to look at genes or chromosomes in cells and tissues. Pieces of DNA that contain a fluorescent dye are made in the laboratory and added to cells or tissues on a glass slide. When these pieces of DNA attach to certain genes or areas of chromosomes on the slide, they light up when viewed under a microscope with a special light. This type of test is used to find certain gene changes.    -   Reverse transcriptionpolymerase chain reaction (RTPCR) test: A laboratory test in which cells in a sample of tissue are studied using chemicals to look for certain changes in the structure or function of genes.    -   Cytogenetic analysis : A laboratory test in which cells in a sample of tissue are viewed under a microscope to look for certain changes in the chromosomes."
medquestions-500-0242,How many people are affected by progressive supranuclear palsy ?,"The exact prevalence of progressive supranuclear palsy is unknown. It may affect about 6 in 100,000 people worldwide."
medquestions-500-0243,What is (are) Fabry disease ?,"Fabry disease is an inherited disorder that results from the buildup of a particular type of fat, called globotriaosylceramide, in the body's cells. Beginning in childhood, this buildup causes signs and symptoms that affect many parts of the body. Characteristic features of Fabry disease include episodes of pain, particularly in the hands and feet (acroparesthesias); clusters of small, dark red spots on the skin called angiokeratomas; a decreased ability to sweat (hypohidrosis); cloudiness of the front part of the eye (corneal opacity); problems with the gastrointestinal system; ringing in the ears (tinnitus); and hearing loss. Fabry disease also involves potentially life-threatening complications such as progressive kidney damage, heart attack, and stroke. Some affected individuals have milder forms of the disorder that appear later in life and affect only the heart or kidneys."
medquestions-500-0244,What are the symptoms of Childhood Nephrotic Syndrome ?,"The signs and symptoms of childhood nephrotic syndrome may include
                
- edemaswelling, most often in the legs, feet, or ankles and less often in the hands or face  - albuminuriawhen a childs urine has high levels of albumin  - hypoalbuminemiawhen a childs blood has low levels of albumin  - hyperlipidemiawhen a childs blood cholesterol and fat levels are higher than normal
                
In addition, some children with nephrotic syndrome may have
                
- blood in their urine  - symptoms of infection, such as fever, lethargy, irritability, or abdominal pain  - loss of appetite  - diarrhea  - high blood pressure"
medquestions-500-0245,How to diagnose Non-involuting congenital hemangioma ?,"How is non-involuting congenital hemangioma diagnosed? Non-involuting congenital hemangioma (NICH) is diagnosed by taking a biopsy of the skin mark and examining the tissue under a microscope.  NICH looks different under the microscope than most infantile hemangiomas because the blood vessels are arranged more irregularly.  Also, the cells in an NICH do not have glucose receptors, whereas the cells of almost all hemangiomas do have glucose receptors.  Finally, NICH is different from more common types of hemangiomas because NICH does not spontaneously disappear (involute). Instead, NICH remains stable over time."
medquestions-500-0246,Do you have information about Antibiotic Resistance,"Summary : Antibiotics are medicines that fight bacterial infections. Used properly, they can save lives. But there is a growing problem of antibiotic resistance. It happens when bacteria change and become able to resist the effects of an antibiotic.     Using antibiotics can lead to resistance. Each time you take antibiotics, sensitive bacteria are killed. But resistant germs may be left to grow and multiply. They can spread to other people. They can also cause infections that certain antibiotics cannot cure. Methicillin-resistant Staphylococcus aureus (MRSA) is one example. It causes infections that are resistant to several common antibiotics.    To help prevent antibiotic resistance       - Don't use antibiotics for viruses like colds or flu. Antibiotics don't work on viruses.    - Don't pressure your doctor to give you an antibiotic.     - When you take antibiotics, follow the directions carefully. Finish your medicine even if you feel better. If you stop treatment too soon, some bacteria may survive and re-infect you.    - Don't save antibiotics for later or use someone else's prescription.       Centers for Disease Control and Prevention"
medquestions-500-0247,What are the treatments for Bronchopulmonary Dysplasia ?,"Preventive Measures
                
If your doctor thinks you're going to give birth too early, he or she may give you injections of a corticosteroid medicine.
                
The medicine can speed up surfactant production in your baby. Surfactant is a liquid that coats the inside of the lungs. It helps keep the lungs open so your infant can breathe in air once he or she is born.
                
Corticosteroids also can help your baby's lungs, brain, and kidneys develop more quickly while he or she is in the womb.
                
Premature babies who have very low birth weights also might be given corticosteroids within the first few days of birth. Doctors sometimes prescribe inhaled nitric oxide shortly after birth for babies who have very low birth weights. This treatment can help improve the babies' lung function.
                
These preventive measures may help reduce infants' risk of respiratory distress syndrome (RDS), which can lead to BPD.
                
Treatment for Respiratory Distress Syndrome
                
The goals of treating infants who have RDS include:
                
Reducing further injury to the lungs
                
Providing nutrition and other support to help the lungs grow and recover
                
Preventing lung infections by giving antibiotics
                
Treatment of RDS usually begins as soon as an infant is born, sometimes in the delivery room. Most infants who have signs of RDS are quickly moved to a neonatal intensive care unit (NICU). They receive around-the-clock treatment from health care professionals who specialize in treating premature infants.
                
Treatments for RDS include surfactant replacement therapy, breathing support with nasal continuous positive airway pressure (NCPAP) or a ventilator, oxygen therapy (oxygen given through nasal prongs, a mask, or a breathing tube), and medicines to treat fluid buildup in the lungs.
                
For more information about RDS treatments, go to the Health Topics Respiratory Distress Syndrome article.
                
Treatment for Bronchopulmonary Dysplasia
                
Treatment in the NICU is designed to limit stress on infants and meet their basic needs of warmth, nutrition, and protection. Once doctors diagnose BPD, some or all of the treatments used for RDS will continue in the NICU.
                
Such treatment usually includes:
                
Using radiant warmers or incubators to keep infants warm and reduce the risk of infection.
                
Ongoing monitoring of blood pressure, heart rate, breathing, and temperature through sensors taped to the babies' bodies.
                
Using sensors on fingers or toes to check the amount of oxygen in the infants' blood.
                
Giving fluids and nutrients through needles or tubes inserted into the infants' veins. This helps prevent malnutrition and promotes growth. Nutrition is vital to the growth and development of the lungs. Later, babies may be given breast milk or infant formula through feeding tubes that are passed through their noses or mouths and into their throats.
                
Checking fluid intake to make sure that fluid doesn't build up in the babies' lungs.
                
As BPD improves, babies are slowly weaned off NCPAP or ventilators until they can breathe on their own. These infants will likely need oxygen therapy for some time.
                
If your infant has moderate or severe BPD, echocardiography might be done every few weeks to months to check his or her pulmonary artery pressure.
                
If your child needs long-term ventilator support, he or she will likely get a tracheostomy (TRA-ke-OS-toe-me). A tracheostomy is a surgically made hole. It goes through the front of the neck and into the trachea (TRA-ke-ah), or windpipe. Your child's doctor will put the breathing tube from the ventilator through the hole.
                
Using a tracheostomy instead of an endotracheal (en-do-TRA-ke-al) tube has some advantages. (An endotracheal tube is a breathing tube inserted through the nose or mouth and into the windpipe.)
                
Long-term use of an endotracheal tube can damage the trachea. This damage may need to be corrected with surgery later. A tracheostomy can allow your baby to interact more with you and the NICU staff, start talking, and develop other skills.
                
While your baby is in the NICU, he or she also may need physical therapy. Physical therapy can help strengthen your child's muscles and clear mucus out of his or her lungs.
                
Infants who have BPD may spend several weeks or months in the hospital. This allows them to get the care they need.
                
Before your baby goes home, learn as much as you can about your child's condition and how it's treated. Your baby may continue to have some breathing symptoms after he or she leaves the hospital.
                
Your child will likely continue on all or some of the treatments that were started at the hospital, including:
                
Medicines, such as bronchodilators, steroids, and diuretics.
                
Oxygen therapy or breathing support from NCPAP or a ventilator.
                
Extra nutrition and calories, which may be given through a feeding tube.
                
Preventive treatment with a medicine called palivizumab for severe respiratory syncytial virus (RSV). This common virus leads to mild, cold-like symptoms in adults and older, healthy children. However, in infantsespecially those in high-risk groupsRSV can lead to severe breathing problems.
                
Your child also should have regular checkups with and timely vaccinations from a pediatrician. This is a doctor who specializes in treating children. If your child needs oxygen therapy or a ventilator at home, a pulmonary specialist might be involved in his or her care.
                
Seek out support from family, friends, and hospital staff. Ask the case manager or social worker at the hospital about what you'll need after your baby leaves the hospital.
                
The doctors and nurses can assist with questions about your infant's care. Also, you may want to ask whether your community has a support group for parents of premature infants."
medquestions-500-0248,What are the complications of Mineral and Bone Disorder in Chronic Kidney Disease ?,"The complications of mineral and bone disorder in CKD include slowed bone growth and deformities, and heart and blood vessel problems.
                
Slowed Bone Growth and Deformities
                
Damaged kidneys must work harder to clear phosphorus from the body. High levels of phosphorus cause lower levels of calcium in the blood, resulting in the following series of events:
                
- When a persons blood calcium level becomes too low, the parathyroid glands release parathyroid hormone.  - Parathyroid hormone removes calcium from bones and places it into the blood, raising a persons blood calcium level at the risk of harming bones.  - A low calcitriol level also leads to an increased level of parathyroid hormone.
                
If mineral and bone disorder in CKD remains untreated in adults, bones gradually become thin and weak, and a person with the condition may begin to feel bone and joint pain. Mineral and bone disorder in CKD also increases a persons risk of bone fractures.
                
Heart and Blood Vessel Problems
                
In addition to harming bones, mineral and bone disorder in CKD can cause problems in the heart and blood vessels:
                
- High levels of blood calcium can damage blood vessels and lead to heart problems.  - High phosphorus levels also can cause blood vessels to become like bone, leading to hardening of the arteries.  - High phosphorus levels also cause abnormal hormone regulation, even if the calcium level is acceptable.
                
Parathyroid hormone and another hormone made in the bones called FGF23 can also affect bone and heart health, leading to the following series of problems:
                
- When parathyroid hormone or FGF23 levels are high, a person can have heart problems.   - The complex hormone abnormalities that cause bone deformities can also harm a persons heart and blood vessels."
medquestions-500-0249,What is (are) fragile X-associated tremor/ataxia syndrome ?,"Fragile X-associated tremor/ataxia syndrome (FXTAS) is characterized by problems with movement and thinking ability (cognition). FXTAS is a late-onset disorder, usually occurring after age 50, and its signs and symptoms worsen with age. This condition affects males more frequently and severely than females. Affected individuals have areas of damage in the part of the brain that controls movement (the cerebellum) and in a type of brain tissue known as white matter, which can be seen with magnetic resonance imaging (MRI). This damage leads to the movement problems and other impairments associated with FXTAS.  The characteristic features of FXTAS are intention tremor, which is trembling or shaking of a limb when trying to perform a voluntary movement such as reaching for an object, and problems with coordination and balance (ataxia). Typically intention tremors will develop first, followed a few years later by ataxia, although not everyone with FXTAS has both features. Many affected individuals develop other movement problems, such as a pattern of movement abnormalities known as parkinsonism, which includes tremors when not moving (resting tremor), rigidity, and unusually slow movement (bradykinesia). In addition, affected individuals may have reduced sensation, numbness or tingling, pain, or muscle weakness in the lower limbs. Some people with FXTAS experience problems with the autonomic nervous system, which controls involuntary body functions, leading to the inability to control the bladder or bowel.  People with FXTAS commonly have cognitive disabilities. They may develop short-term memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, focusing attention appropriately, and cognitive flexibility. Many people with FXTAS experience anxiety, depression, moodiness, or irritability.  Some women develop immune system disorders, such as hypothyroidism or fibromyalgia, before the signs and symptoms of FXTAS appear."
medquestions-500-0250,What are the symptoms of Glycogen storage disease type 1B ?,"What are the signs and symptoms of Glycogen storage disease type 1B? The Human Phenotype Ontology provides the following list of signs and symptoms for Glycogen storage disease type 1B. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Decreased glomerular filtration rate - Delayed puberty - Doll-like facies - Elevated hepatic transaminases - Enlarged kidneys - Focal segmental glomerulosclerosis - Gout - Hepatocellular carcinoma - Hepatomegaly - Hyperlipidemia - Hypertension - Hypoglycemia - Lactic acidosis - Lipemia retinalis - Nephrolithiasis - Neutropenia - Oral ulcer - Osteoporosis - Pancreatitis - Proteinuria - Protuberant abdomen - Recurrent bacterial infections - Short stature - Xanthomatosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0251,What are the symptoms of Peptidic growth factors deficiency ?,"What are the signs and symptoms of Peptidic growth factors deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Peptidic growth factors deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of skin pigmentation 90% Convex nasal ridge 90% Flexion contracture 90% Lack of skin elasticity 90% Limitation of joint mobility 90% Lipoatrophy 90% Narrow mouth 90% Palmoplantar keratoderma 90% Pectus excavatum 90% Pes planus 90% Weight loss 90% Abnormal hair quantity 50% Abnormality of limb bone morphology 50% Abnormality of lipid metabolism 50% Atherosclerosis 50% Chondrocalcinosis 50% Premature graying of hair 50% Reduced bone mineral density 50% Type I diabetes mellitus 50% Autosomal recessive inheritance - Dermal atrophy - Insulin-resistant diabetes mellitus - Plantar hyperkeratosis - Reduced subcutaneous adipose tissue - Thin skin - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0252,Is Kallmann syndrome inherited ?,"How is Kallmann syndrome inherited? Kallmann syndrome (KS) may be inherited in an X-linked recessive, autosomal dominant, or autosomal recessive manner depending on the gene(s) responsible. For example: KS due to mutations in the KAL1 gene (also called the ANOS1 gene), causing Kallmann syndrome 1, is inherited in an X-linked recessive manner. KS due to mutations in the FGFR1, PROKR2, PROK2, CHD7 or FGF8 genes (causing KS types 2, 3, 4, 5 and 6, respectively) is predominantly inherited in an autosomal dominant manner. KS due to mutations in PROKR2 and PROK2 can also be inherited in an autosomal recessive manner. In the majority of people with KS, the family history appears to be negative (the condition occurs sporadically). However, affected people are still at risk to pass the disease-causing mutation(s) on to their children, or to have an affected child. The risk for each child to be affected depends on the genetic cause in the affected person and may be up to 50%. People with personal questions about the genetic cause and inheritance of KS are encouraged to speak with a genetic counselor or other genetics professional. The genetic cause in many cases remains unknown, and a thorough family history should be obtained to understand the mode of inheritance in each family and to aid in genetic testing and counseling. Information about specific features present or absent in all family members can help determine the mode of inheritance present."
medquestions-500-0253,How to diagnose Polycythemia Vera ?,"Special blood tests are used to diagnose polycythemia vera. In addition to a complete blood count, bone marrow aspiration and biopsy, and cytogenetic analysis, a serum erythropoietin test is used to diagnose polycythemia vera. In this test, a sample of blood is checked for the level of erythropoietin (a hormone that stimulates new red blood cells to be made). In polycythemia vera, the erythropoietin level would be lower than normal because the body does not need to make more red blood cells."
medquestions-500-0254,What are the treatments for aceruloplasminemia ?,These resources address the diagnosis or management of aceruloplasminemia:  - Gene Review: Gene Review: Aceruloplasminemia  - Genetic Testing Registry: Deficiency of ferroxidase   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
medquestions-500-0255,"What are the treatments for hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome ?","These resources address the diagnosis or management of HANAC syndrome:  - Gene Review: Gene Review: COL4A1-Related Disorders  - Genetic Testing Registry: Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
